grid_x,grid_y,layer,direction,x,y
4620.0,75.0,center,,4625.109000000001,80.49600000000002
4770.0,75.0,center,,4775.109000000001,80.49600000000002
3915.0,645.0,center,,3916.809000000001,640.4960000000001
4620.0,555.0,center,,4625.109000000001,560.4960000000001
4770.0,555.0,center,,4775.109000000001,560.4960000000001
4065.0,315.0,center,,4066.809000000001,320.4960000000001
4065.0,645.0,center,,4066.809000000001,640.4960000000001
3615.0,480.0,center,,3618.509000000001,480.4960000000001
3465.0,480.0,center,,3468.509000000001,480.4960000000001
3210.0,480.0,center,,3208.509000000001,480.4960000000001
3360.0,480.0,center,,3358.509000000001,480.4960000000001
3915.0,315.0,center,,3916.809000000001,320.4960000000001
3360.0,165.0,center,,3361.909000000001,160.49600000000004
3510.0,165.0,center,,3511.909000000001,160.49600000000004
3255.0,165.0,center,,3251.9090000000006,160.49600000000004
3105.0,165.0,center,,3101.9090000000006,160.49600000000004
4320.0,315.0,center,,4326.809000000001,320.4960000000001
4170.0,315.0,center,,4176.809000000001,320.4960000000001
4890.0,405.0,center,,4885.109000000001,400.4960000000001
5040.0,405.0,center,,5035.109000000001,400.4960000000001
4620.0,240.0,center,,4625.109000000001,240.49600000000007
4770.0,240.0,center,,4775.109000000001,240.49600000000007
4620.0,405.0,center,,4625.109000000001,400.4960000000001
4770.0,405.0,center,,4775.109000000001,400.4960000000001
4890.0,75.0,center,,4885.109000000001,80.49600000000002
4890.0,555.0,center,,4885.109000000001,560.4960000000001
5040.0,555.0,center,,5035.109000000001,560.4960000000001
4320.0,645.0,center,,4326.809000000001,640.4960000000001
4170.0,645.0,center,,4176.809000000001,640.4960000000001
4890.0,240.0,center,,4885.109000000001,240.49600000000007
5040.0,240.0,center,,5035.109000000001,240.49600000000007
4890.0,-555.0,center,,4885.109000000001,-559.5040000000001
5040.0,-555.0,center,,5035.109000000001,-559.5040000000001
4620.0,-555.0,center,,4625.109000000001,-559.5040000000001
4770.0,-555.0,center,,4775.109000000001,-559.5040000000001
4890.0,-405.0,center,,4885.109000000001,-399.5040000000001
5040.0,-405.0,center,,5035.109000000001,-399.5040000000001
4320.0,-315.0,center,,4326.809000000001,-319.5040000000001
4170.0,-315.0,center,,4176.809000000001,-319.5040000000001
4890.0,-240.0,center,,4885.109000000001,-239.50400000000005
5040.0,-240.0,center,,5035.109000000001,-239.50400000000005
4620.0,-405.0,center,,4625.109000000001,-399.5040000000001
4770.0,-405.0,center,,4775.109000000001,-399.5040000000001
4620.0,-240.0,center,,4625.109000000001,-239.50400000000005
4770.0,-240.0,center,,4775.109000000001,-239.50400000000005
4890.0,-75.0,center,,4885.109000000001,-79.50400000000002
5040.0,-75.0,center,,5035.109000000001,-79.50400000000002
4320.0,0.0,center,,4326.809000000001,0.496
4170.0,0.0,center,,4176.809000000001,0.496
4065.0,0.0,center,,4066.809000000001,0.496
4620.0,-75.0,center,,4625.109000000001,-79.50400000000002
4770.0,-75.0,center,,4775.109000000001,-79.50400000000002
4065.0,-315.0,center,,4066.809000000001,-319.5040000000001
3915.0,0.0,center,,3916.809000000001,0.496
3210.0,-165.0,center,,3208.509000000001,-159.50400000000005
3360.0,-165.0,center,,3358.509000000001,-159.50400000000005
3915.0,-315.0,center,,3916.809000000001,-319.5040000000001
3360.0,-480.0,center,,3361.909000000001,-479.50400000000013
3510.0,-480.0,center,,3511.909000000001,-479.50400000000013
3255.0,-480.0,center,,3251.9090000000006,-479.50400000000013
3105.0,-480.0,center,,3101.9090000000006,-479.50400000000013
3615.0,-165.0,center,,3618.509000000001,-159.50400000000005
